titles,author
Pride and Prejudice,Jane Austen
1984,George Orwell
Crime and Punishment,Fyodor Dostoevsky
Hamlet,William Shakespeare
One Hundred Years of Solitude,Gabriel García Márquez
Anna Karenina,Leo Tolstoy
The Odyssey,Homer
The Stranger,Albert Camus
The Brothers Karamazov,Fyodor Dostoevsky
Great Expectations,Charles Dickens
Lolita,Vladimir Nabokov
The Old Man and the Sea,Ernest Hemingway
War and Peace,Leo Tolstoy
Don Quixote,Miguel de Cervantes Saavedra
The Iliad,Homer
Madame Bovary,Gustave Flaubert
The Trial,Franz Kafka
The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri
"Moby-Dick or, The Whale",Herman Melville
King Lear,William Shakespeare
Love in the Time of Cholera,Gabriel García Márquez
Mrs. Dalloway,Virginia Woolf
The Complete Fairy Tales,Hans Christian Andersen
Othello,William Shakespeare
The Arabian Nights,Anonymous
Ulysses,James Joyce
The Sound and the Fury,William Faulkner
Gulliver’s Travels,Jonathan Swift
"Oedipus Rex  (The Theban Plays, #1)",Sophocles
The Canterbury Tales,Geoffrey Chaucer
"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren
The Idiot,Fyodor Dostoevsky
"Swann’s Way (In Search of Lost Time, #1)",Marcel Proust
The Collected Tales of Edgar Allan Poe,Edgar Allan Poe
To the Lighthouse,Virginia Woolf
"Beloved (Beloved Trilogy, #1)",Toni Morrison
"Faust, First Part",Johann Wolfgang von Goethe
Blindness,José Saramago
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe
Ficciones,Jorge Luis Borges
Zorba the Greek,Nikos Kazantzakis
The Death of Ivan Ilych,Leo Tolstoy
Middlemarch,George Eliot
Midnight’s Children,Salman Rushdie
The Epic of Gilgamesh,Anonymous
A Doll's House,Henrik Ibsen
Journey to the End of the Night,Louis-Ferdinand Céline
Invisible Man,Ralph Ellison
Leaves of Grass,Walt Whitman
The Magic Mountain,Thomas Mann
The Book of Disquiet,Fernando Pessoa
The Man Without Qualities,Robert Musil
Hunger,Knut Hamsun
The Decameron,Giovanni Boccaccio
Dead Souls,Nikolai Gogol
Metamorphoses,Ovid
The Aeneid,Virgil
The Castle,Franz Kafka
Wuthering Heights,Emily Brontë
Medea,Euripides
Mahabharata,Anonymous
The Red and the Black,Stendhal
Gargantua and Pantagruel,François Rabelais
The Complete Stories,Franz Kafka
Père Goriot,Honoré de Balzac
The Adventures of Huckleberry Finn,Mark Twain
Selected Stories of Anton Chekhov,Anton Chekhov
"Absalom, Absalom!",William Faulkner
The Tin Drum,Günter Grass
Buddenbrooks: The Decline of a Family,Thomas Mann
Ramayana,Vālmīki
Sons and Lovers,D.H. Lawrence
Demons,Fyodor Dostoevsky
Pedro Páramo,Juan Rulfo
Memoirs of Hadrian,Marguerite Yourcenar
The Book of Job (Pocket Canon),Anonymous
The Golden Notebook,Doris Lessing
The Complete Essays,Michel de Montaigne
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Molloy / Malone Dies / The Unnamable,Samuel Beckett
مثنوی معنوی,Jalal ad-Din Muhammad ar-Rumi
Jacques the Fatalist,Denis Diderot
Season of Migration to the North,Tayeb Salih
The Tale of Genji,Murasaki Shikibu
Sentimental Education,Gustave Flaubert
أولاد حارتنا,Naguib Mahfouz
Independent People,Halldór Laxness
The Sound of the Mountain,Yasunari Kawabata
Nostromo,Joseph Conrad
Diary of a Madman and Other Stories,Lu Xun
Grande Sertão: Veredas,João Guimarães Rosa
Zeno's Conscience,Italo Svevo
Romancero gitano,Federico García Lorca
History,Elsa Morante
Poems of Paul Celan,Paul Celan
Berlin Alexanderplatz,Alfred Döblin
Njal's Saga,Anonymous
The Recognition of Śakuntalā,Kālidāsa
The Orchard: The Bostan Of Saadi Of Shiraz,Saadi
The Poems of Giacomo Leopardi,Giacomo Leopardi
